Particip,SPs_G1,group_1,SPs_G2,group_2,SPs_G3,group_3,SPs_G4,group_4,SPs_G5,group_5,order
Stakeholder,SP2,6,SP6,5,SP10,6,SP14,4,SP18,3,3
Stakeholder,SP2,5,SP6,6,SP10,4,SP14,3,SP18,4,3
Stakeholder,SP2,6,SP6,6,SP10,6,SP14,5,SP18,6,3
Stakeholder,SP2,6,SP6,6,SP10,5,SP14,5,SP18,5,3
Stakeholder,SP2,5,SP6,6,SP10,4,SP14,3,SP18,4,3
Stakeholder,SP2,7,SP6,5,SP10,6,SP14,4,SP18,6,3
Stakeholder,SP2,5,SP6,5,SP10,5,SP14,4,SP18,4,3
Stakeholder,SP2,6,SP6,4,SP10,5,SP14,5,SP18,4,3
Stakeholder,SP2,7,SP6,6,SP10,7,SP14,6,SP18,5,3
Stakeholder,SP2,5,SP6,4,SP10,3,SP14,5,SP18,4,3
Stakeholder,SP2,5,SP6,5,SP10,4,SP14,4,SP18,3,3
Stakeholder,SP2,5,SP6,4,SP10,3,SP14,4,SP18,3,3
Stakeholder,SP2,6,SP6,5,SP10,4,SP14,4,SP18,5,3
Stakeholder,SP2,4,SP6,4,SP10,2,SP14,4,SP18,4,3
Stakeholder,SP2,6,SP6,6,SP10,6,SP14,6,SP18,5,3
Stakeholder,SP2,5,SP6,5,SP10,5,SP14,4,SP18,4,3
Stakeholder,SP2,6,SP6,5,SP10,5,SP14,3,SP18,3,3
Stakeholder,SP2,6,SP6,5,SP10,5,SP14,5,SP18,4,3
Stakeholder,SP2,6,SP6,5,SP10,5,SP14,5,SP18,4,3
Stakeholder,SP2,6,SP6,6,SP10,6,SP14,6,SP18,5,3
Stakeholder,SP2,6,SP6,5,SP10,4,SP14,4,SP18,3,3
Stakeholder,SP2,6,SP6,5,SP10,5,SP14,4,SP18,3,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,5,SP18,4,3
No_stakeholder,SP2,7,SP6,6,SP10,5,SP14,4,SP18,3,3
No_stakeholder,SP2,7,SP6,6,SP10,6,SP14,5,SP18,6,3
No_stakeholder,SP2,6,SP6,5,SP10,4,SP14,4,SP18,5,3
No_stakeholder,SP2,7,SP6,7,SP10,5,SP14,5,SP18,2,3
No_stakeholder,SP2,1,SP6,4,SP10,3,SP14,5,SP18,5,3
No_stakeholder,SP2,6,SP6,5,SP10,4,SP14,5,SP18,3,3
No_stakeholder,SP2,5,SP6,5,SP10,5,SP14,4,SP18,4,3
No_stakeholder,SP2,7,SP6,5,SP10,6,SP14,4,SP18,6,3
No_stakeholder,SP2,7,SP6,6,SP10,7,SP14,6,SP18,6,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,4,SP18,3,3
No_stakeholder,SP2,4,SP6,6,SP10,7,SP14,2,SP18,3,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,6,SP18,5,3
No_stakeholder,SP2,5,SP6,5,SP10,5,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,4,SP14,4,SP18,3,3
No_stakeholder,SP2,5,SP6,4,SP10,3,SP14,3,SP18,4,3
No_stakeholder,SP2,6,SP6,6,SP10,5,SP14,4,SP18,3,3
No_stakeholder,SP2,7,SP6,5,SP10,4,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,7,SP10,6,SP14,6,SP18,6,3
No_stakeholder,SP2,3,SP6,5,SP10,6,SP14,4,SP18,3,3
No_stakeholder,SP2,7,SP6,6,SP10,5,SP14,4,SP18,3,3
No_stakeholder,SP2,6,SP6,7,SP10,6,SP14,5,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,4,SP18,4,3
No_stakeholder,SP2,7,SP6,6,SP10,5,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,6,SP18,5,3
No_stakeholder,SP2,5,SP6,4,SP10,3,SP14,3,SP18,4,3
No_stakeholder,SP2,7,SP6,4,SP10,6,SP14,4,SP18,2,3
No_stakeholder,SP2,7,SP6,6,SP10,7,SP14,6,SP18,7,3
No_stakeholder,SP2,6,SP6,4,SP10,5,SP14,5,SP18,4,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,4,SP14,4,SP18,3,3
No_stakeholder,SP2,5,SP6,4,SP10,3,SP14,3,SP18,4,3
No_stakeholder,SP2,7,SP6,6,SP10,6,SP14,6,SP18,5,3
No_stakeholder,SP2,5,SP6,5,SP10,4,SP14,4,SP18,3,3
No_stakeholder,SP2,6,SP6,6,SP10,6,SP14,5,SP18,6,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,5,SP18,4,3
No_stakeholder,SP2,7,SP6,5,SP10,6,SP14,4,SP18,6,3
No_stakeholder,SP2,5,SP6,5,SP10,5,SP14,4,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,4,SP18,2,3
No_stakeholder,SP2,5,SP6,4,SP10,3,SP14,3,SP18,4,3
No_stakeholder,SP2,7,SP6,4,SP10,6,SP14,4,SP18,1,3
No_stakeholder,SP2,7,SP6,7,SP10,6,SP14,5,SP18,3,3
No_stakeholder,SP2,6,SP6,6,SP10,5,SP14,5,SP18,5,3
No_stakeholder,SP2,5,SP6,6,SP10,4,SP14,3,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,3,SP18,3,3
No_stakeholder,SP2,6,SP6,5,SP10,5,SP14,5,SP18,4,3
No_stakeholder,SP2,5,SP6,5,SP10,4,SP14,4,SP18,3,3
No_stakeholder,SP2,3,SP6,3,SP10,4,SP14,3,SP18,3,3
No_stakeholder,SP2,7,SP6,5,SP10,6,SP14,4,SP18,6,3
No_stakeholder,SP2,3,SP6,4,SP10,5,SP14,6,SP18,3,3
No_stakeholder,SP2,6,SP6,6,SP10,5,SP14,5,SP18,4,3
No_stakeholder,SP2,6,SP6,5,SP10,4,SP14,5,SP18,3,3
Stakeholder,SP3,5,SP7,4,SP11,4,SP15,4,SP19,3,2
Stakeholder,SP3,6,SP7,4,SP11,3,SP15,4,SP19,3,2
Stakeholder,SP3,6,SP7,4,SP11,2,SP15,4,SP19,3,2
Stakeholder,SP3,4,SP7,3,SP11,4,SP15,2,SP19,2,2
Stakeholder,SP3,5,SP7,5,SP11,5,SP15,6,SP19,5,2
Stakeholder,SP3,6,SP7,5,SP11,5,SP15,5,SP19,5,2
Stakeholder,SP3,4,SP7,2,SP11,4,SP15,2,SP19,1,2
Stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,3,2
Stakeholder,SP3,6,SP7,5,SP11,4,SP15,4,SP19,3,2
Stakeholder,SP3,5,SP7,3,SP11,2,SP15,3,SP19,1,2
Stakeholder,SP3,6,SP7,4,SP11,7,SP15,6,SP19,4,2
Stakeholder,SP3,3,SP7,5,SP11,5,SP15,2,SP19,4,2
Stakeholder,SP3,4,SP7,4,SP11,5,SP15,3,SP19,4,2
Stakeholder,SP3,3,SP7,3,SP11,3,SP15,3,SP19,2,2
Stakeholder,SP3,4,SP7,3,SP11,2,SP15,1,SP19,2,2
Stakeholder,SP3,4,SP7,3,SP11,3,SP15,3,SP19,4,2
Stakeholder,SP3,6,SP7,5,SP11,5,SP15,5,SP19,4,2
Stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
Stakeholder,SP3,6,SP7,4,SP11,4,SP15,3,SP19,2,2
Stakeholder,SP3,6,SP7,5,SP11,3,SP15,4,SP19,6,2
Stakeholder,SP3,6,SP7,5,SP11,5,SP15,3,SP19,3,2
Stakeholder,SP3,5,SP7,5,SP11,5,SP15,6,SP19,5,2
Stakeholder,SP3,4,SP7,6,SP11,5,SP15,3,SP19,2,2
Stakeholder,SP3,6,SP7,5,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,6,SP7,6,SP11,4,SP15,5,SP19,3,2
No_stakeholder,SP3,5,SP7,5,SP11,4,SP15,4,SP19,4,2
No_stakeholder,SP3,7,SP7,6,SP11,5,SP15,4,SP19,2,2
No_stakeholder,SP3,6,SP7,6,SP11,6,SP15,6,SP19,6,2
No_stakeholder,SP3,4,SP7,3,SP11,2,SP15,1,SP19,2,2
No_stakeholder,SP3,5,SP7,5,SP11,4,SP15,4,SP19,2,2
No_stakeholder,SP3,5,SP7,4,SP11,3,SP15,6,SP19,5,2
No_stakeholder,SP3,4,SP7,5,SP11,6,SP15,4,SP19,5,2
No_stakeholder,SP3,6,SP7,5,SP11,4,SP15,4,SP19,3,2
No_stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,6,SP7,4,SP11,7,SP15,6,SP19,4,2
No_stakeholder,SP3,5,SP7,4,SP11,3,SP15,3,SP19,2,2
No_stakeholder,SP3,3,SP7,3,SP11,6,SP15,6,SP19,3,2
No_stakeholder,SP3,5,SP7,6,SP11,6,SP15,5,SP19,6,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,5,SP7,5,SP11,5,SP15,3,SP19,4,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,4,SP7,5,SP11,5,SP15,4,SP19,3,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,4,SP19,3,2
No_stakeholder,SP3,5,SP7,6,SP11,5,SP15,4,SP19,6,2
No_stakeholder,SP3,7,SP7,4,SP11,5,SP15,4,SP19,5,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,3,SP19,3,2
No_stakeholder,SP3,5,SP7,4,SP11,5,SP15,4,SP19,3,2
No_stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,2,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,4,SP19,4,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,5,SP19,4,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,2,SP7,3,SP11,4,SP15,1,SP19,1,2
No_stakeholder,SP3,6,SP7,7,SP11,6,SP15,7,SP19,7,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,5,SP19,4,2
No_stakeholder,SP3,5,SP7,4,SP11,6,SP15,4,SP19,6,2
No_stakeholder,SP3,4,SP7,5,SP11,4,SP15,3,SP19,2,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,5,SP7,5,SP11,5,SP15,6,SP19,5,2
No_stakeholder,SP3,4,SP7,4,SP11,5,SP15,3,SP19,4,2
No_stakeholder,SP3,5,SP7,5,SP11,5,SP15,6,SP19,5,2
No_stakeholder,SP3,6,SP7,6,SP11,6,SP15,5,SP19,5,2
No_stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,6,SP7,5,SP11,4,SP15,4,SP19,3,2
No_stakeholder,SP3,6,SP7,5,SP11,4,SP15,4,SP19,3,2
No_stakeholder,SP3,4,SP7,4,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,2,SP7,3,SP11,4,SP15,1,SP19,1,2
No_stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,2,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,5,SP19,5,2
No_stakeholder,SP3,4,SP7,2,SP11,4,SP15,2,SP19,1,2
No_stakeholder,SP3,6,SP7,4,SP11,4,SP15,3,SP19,2,2
No_stakeholder,SP3,6,SP7,5,SP11,5,SP15,3,SP19,3,2
No_stakeholder,SP3,6,SP7,4,SP11,3,SP15,4,SP19,3,2
No_stakeholder,SP3,3,SP7,3,SP11,4,SP15,3,SP19,3,2
No_stakeholder,SP3,5,SP7,4,SP11,4,SP15,3,SP19,4,2
No_stakeholder,SP3,1,SP7,2,SP11,2,SP15,4,SP19,4,2
No_stakeholder,SP3,5,SP7,5,SP11,6,SP15,4,SP19,3,2
No_stakeholder,SP3,4,SP7,5,SP11,6,SP15,4,SP19,5,2
Stakeholder,SP4,5,SP8,5,SP12,5,SP16,4,SP20,3,1
Stakeholder,SP4,5,SP8,4,SP12,2,SP16,2,SP20,1,1
Stakeholder,SP4,5,SP8,4,SP12,3,SP16,3,SP20,2,1
Stakeholder,SP4,3,SP8,4,SP12,2,SP16,1,SP20,1,1
Stakeholder,SP4,4,SP8,4,SP12,4,SP16,4,SP20,5,1
Stakeholder,SP4,5,SP8,4,SP12,4,SP16,3,SP20,3,1
Stakeholder,SP4,3,SP8,4,SP12,2,SP16,1,SP20,1,1
Stakeholder,SP4,3,SP8,2,SP12,2,SP16,4,SP20,3,1
Stakeholder,SP4,5,SP8,4,SP12,4,SP16,3,SP20,4,1
Stakeholder,SP4,4,SP8,1,SP12,2,SP16,1,SP20,1,1
Stakeholder,SP4,2,SP8,3,SP12,4,SP16,4,SP20,4,1
Stakeholder,SP4,2,SP8,2,SP12,1,SP16,1,SP20,1,1
Stakeholder,SP4,4,SP8,3,SP12,2,SP16,2,SP20,2,1
Stakeholder,SP4,2,SP8,3,SP12,2,SP16,2,SP20,1,1
Stakeholder,SP4,1,SP8,1,SP12,2,SP16,1,SP20,2,1
Stakeholder,SP4,2,SP8,2,SP12,2,SP16,2,SP20,2,1
Stakeholder,SP4,4,SP8,4,SP12,3,SP16,3,SP20,2,1
Stakeholder,SP4,3,SP8,3,SP12,3,SP16,2,SP20,2,1
Stakeholder,SP4,4,SP8,4,SP12,3,SP16,2,SP20,3,1
Stakeholder,SP4,4,SP8,4,SP12,4,SP16,5,SP20,2,1
Stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,2,1
Stakeholder,SP4,4,SP8,4,SP12,4,SP16,5,SP20,4,1
Stakeholder,SP4,4,SP8,4,SP12,3,SP16,3,SP20,2,1
Stakeholder,SP4,6,SP8,5,SP12,4,SP16,4,SP20,2,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,3,SP20,3,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,2,SP20,3,1
No_stakeholder,SP4,7,SP8,5,SP12,5,SP16,4,SP20,2,1
No_stakeholder,SP4,6,SP8,7,SP12,6,SP16,6,SP20,6,1
No_stakeholder,SP4,1,SP8,1,SP12,2,SP16,1,SP20,2,1
No_stakeholder,SP4,4,SP8,6,SP12,6,SP16,3,SP20,3,1
No_stakeholder,SP4,1,SP8,2,SP12,3,SP16,7,SP20,5,1
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,4,SP20,4,1
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,3,SP20,4,1
No_stakeholder,SP4,3,SP8,2,SP12,2,SP16,4,SP20,3,1
No_stakeholder,SP4,2,SP8,3,SP12,4,SP16,4,SP20,3,1
No_stakeholder,SP4,3,SP8,3,SP12,3,SP16,2,SP20,1,1
No_stakeholder,SP4,4,SP8,5,SP12,4,SP16,5,SP20,4,1
No_stakeholder,SP4,5,SP8,4,SP12,5,SP16,5,SP20,4,1
No_stakeholder,SP4,3,SP8,3,SP12,3,SP16,2,SP20,1,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,2,SP20,3,1
No_stakeholder,SP4,5,SP8,3,SP12,4,SP16,2,SP20,2,1
No_stakeholder,SP4,4,SP8,5,SP12,3,SP16,4,SP20,2,1
No_stakeholder,SP4,4,SP8,4,SP12,4,SP16,2,SP20,1,1
No_stakeholder,SP4,4,SP8,4,SP12,4,SP16,5,SP20,6,1
No_stakeholder,SP4,4,SP8,5,SP12,4,SP16,5,SP20,6,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,2,1
No_stakeholder,SP4,5,SP8,4,SP12,3,SP16,3,SP20,3,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,1,1
No_stakeholder,SP4,5,SP8,5,SP12,4,SP16,2,SP20,3,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,3,SP20,2,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,3,1
No_stakeholder,SP4,4,SP8,3,SP12,5,SP16,3,SP20,2,1
No_stakeholder,SP4,7,SP8,6,SP12,7,SP16,6,SP20,6,1
